"_id__$oid","pages","primary_general_indicator","ending_image_number","means_filed","previous_file_number","coverage_start_date","request_type","bank_depository_state","bank_depository_zip","candidate_name","file_number","cash_on_hand_end_period","amendment_version","net_donations","document_type_full","html_url","committee_name","fec_file_id","total_individual_contributions","sub_id","senate_personal_funds","most_recent_file_number","beginning_image_number","coverage_end_date","form_type","house_personal_funds","bank_depository_city","document_type","additional_bank_names","cash_on_hand_beginning_period","report_type","most_recent","committee_id","receipt_date","treasurer_name","total_receipts","election_year","amendment_chain__001","form_category","amendment_indicator","debts_owed_by_committee","report_year","party","opposition_personal_funds","total_communication_cost","fec_url","update_date","committee_type","document_description","bank_depository_street_1","cycle","is_amended","pdf_url","debts_owed_to_committee","total_disbursements","state","report_type_full","csv_url","candidate_id","total_independent_expenditures","office","bank_depository_street_2","bank_depository_name","amendment_chain__002","amendment_chain__003","amendment_chain__004","amendment_chain__005","amendment_chain__006","amendment_chain__007","amendment_chain","amendment_chain__008","amendment_chain__009","amendment_chain__010","amendment_chain__011","amendment_chain__012","amendment_chain__013","amendment_chain__014","amendment_chain__015","amendment_chain__016","amendment_chain__017","amendment_chain__018"
"60ad41009bac61a0427666af","1","null","201711269087655300","e-file","1192456","null","null","null","null","BEVENS, MATTHEW RYAN","1192456","null","0","null","null","https://docquery.fec.gov/cgi-bin/forms/H8KS02207/1192456/","null","FEC-1192456","null","4112720171468625137","null","1192456","201711269087655300","null","F2","null","null","null","null","null","null","True","H8KS02207","2017-11-26T00:00:00","BEVENS, MATTHEW RYAN","null","2018","1192456","STATEMENT","N","null","2017","REP","null","null","https://docquery.fec.gov/dcdev/posted/1192456.fec","2017-11-27T00:00:00","null","Statement of candidacy 2017","null","2018","False","https://docquery.fec.gov/pdf/300/201711269087655300/201711269087655300.pdf","null","null","KS","null","https://docquery.fec.gov/csv/456/1192456.csv","H8KS02207","null","H","null","null","","","","","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b0","1","null","202104159443396239","e-file","1449601","null","null","null","null","BOLLIER, BARBARA","1511283","null","6","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1511283/","null","FEC-1511283","null","4041620211277752006","null","1511283","202104159443396239","null","F2","null","null","null","null","null","null","True","S0KS00323","2021-04-15T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2021","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1511283.fec","2021-04-16T00:53:33","null","Statement of candidacy 2021","null","2022","False","https://docquery.fec.gov/pdf/239/202104159443396239/202104159443396239.pdf","null","null","KS","null","https://docquery.fec.gov/csv/283/1511283.csv","S0KS00323","null","S","null","null","1377610","1395118","1405021","1423313","1449601","1511283","","","","","","","","","","","",""
"60ad41009bac61a0427666b1","4","null","202010159294170498","e-file","1423313","null","null","null","null","BOLLIER, BARBARA","1449601","null","5","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1449601/","null","FEC-1449601","null","4101620201857651151","null","1511283","202010159294170495","null","F2","null","null","null","null","null","null","False","S0KS00323","2020-10-15T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2020","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1449601.fec","2020-10-16T00:55:49","null","Statement of candidacy 2020","null","2020","True","https://docquery.fec.gov/pdf/495/202010159294170495/202010159294170495.pdf","null","null","KS","null","https://docquery.fec.gov/csv/601/1449601.csv","S0KS00323","null","S","null","null","1377610","1395118","1405021","1423313","1449601","","","","","","","","","","","","",""
"60ad41009bac61a0427666b2","4","null","202007159244966197","e-file","1405021","null","null","null","null","BOLLIER, BARBARA","1423313","null","4","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1423313/","null","FEC-1423313","null","4071520201790601161","null","1511283","202007159244966194","null","F2","null","null","null","null","null","null","False","S0KS00323","2020-07-15T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2020","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1423313.fec","2020-07-15T00:00:00","null","Statement of candidacy 2020","null","2020","True","https://docquery.fec.gov/pdf/194/202007159244966194/202007159244966194.pdf","null","null","KS","null","https://docquery.fec.gov/csv/313/1423313.csv","S0KS00323","null","S","null","null","1377610","1395118","1405021","1423313","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b3","4","null","202005119232635200","e-file","1395118","null","null","null","null","BOLLIER, BARBARA","1405021","null","3","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1405021/","null","FEC-1405021","null","4051120201742345151","null","1511283","202005119232635197","null","F2","null","null","null","null","null","null","False","S0KS00323","2020-05-11T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2020","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1405021.fec","2020-05-11T00:00:00","null","Statement of candidacy 2020","null","2020","True","https://docquery.fec.gov/pdf/197/202005119232635197/202005119232635197.pdf","null","null","KS","null","https://docquery.fec.gov/csv/021/1405021.csv","S0KS00323","null","S","null","null","1377610","1395118","1405021","","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b4","2","null","202004119216641198","e-file","1377610","null","null","null","null","BOLLIER, BARBARA","1395118","null","2","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1395118/","null","FEC-1395118","null","4041120201735532150","null","1511283","202004119216641197","null","F2","null","null","null","null","null","null","False","S0KS00323","2020-04-11T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2020","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1395118.fec","2020-04-11T00:00:00","null","Statement of candidacy 2020","null","2020","True","https://docquery.fec.gov/pdf/197/202004119216641197/202004119216641197.pdf","null","null","KS","null","https://docquery.fec.gov/csv/118/1395118.csv","S0KS00323","null","S","null","null","1377610","1395118","","","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b5","1","null","202001319184668387","e-file","1359075","null","null","null","null","BOLLIER, BARBARA","1377610","null","1","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1377610/","null","FEC-1377610","null","4013120201686183162","null","1511283","202001319184668387","null","F2","null","null","null","null","null","null","False","S0KS00323","2020-01-31T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","A","null","2020","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1377610.fec","2020-01-31T00:00:00","null","Statement of candidacy 2020","null","2020","True","https://docquery.fec.gov/pdf/387/202001319184668387/202001319184668387.pdf","null","null","KS","null","https://docquery.fec.gov/csv/610/1377610.csv","S0KS00323","null","S","null","null","1377610","","","","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b6","1","null","201910169164983749","e-file","1359075","null","null","null","null","BOLLIER, BARBARA","1359075","null","0","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00323/1359075/","null","FEC-1359075","null","4101620191674360111","null","1511283","201910169164983749","null","F2","null","null","null","null","null","null","False","S0KS00323","2019-10-16T00:00:00","BOLLIER, BARBARA","null","2020","1359075","STATEMENT","N","null","2019","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1359075.fec","2019-10-16T00:00:00","null","Statement of candidacy 2019","null","2020","True","https://docquery.fec.gov/pdf/749/201910169164983749/201910169164983749.pdf","null","null","KS","null","https://docquery.fec.gov/csv/075/1359075.csv","S0KS00323","null","S","null","null","","","","","","","","","","","","","","","","","",""
"60ad41009bac61a0427666b7","1","null","201906289150361374","e-file","1335955","null","null","null","null","BOYDA, NANCY E","1335955","null","0","null","null","https://docquery.fec.gov/cgi-bin/forms/S0KS00224/1335955/","null","FEC-1335955","null","4062820191659010476","null","1335955","201906289150361374","null","F2","null","null","null","null","null","null","True","S0KS00224","2019-06-28T00:00:00","BOYDA, NANCY E","null","2020","1335955","STATEMENT","N","null","2019","DEM","null","null","https://docquery.fec.gov/dcdev/posted/1335955.fec","2019-06-28T00:00:00","null","Statement of candidacy 2019","null","2020","False","https://docquery.fec.gov/pdf/374/201906289150361374/201906289150361374.pdf","null","null","KS","null","https://docquery.fec.gov/csv/955/1335955.csv","S0KS00224","null","S","null","null","","","","","","","","","","","","","","","","","",""
"60ad41019bac61a0427666b8","2","null","201702029042410518","e-file","1147272","null","null","null","null","COBB, ALAN EARL","1147272","null","0","null","null","https://docquery.fec.gov/cgi-bin/forms/H8KS04161/1147272/","null","FEC-1147272","null","4020220171369292195","null","1147272","201702029042410517","null","F2","null","null","null","null","null","null","True","H8KS04161","2017-02-02T00:00:00","COBB, ALAN","null","2017","1147272","STATEMENT","N","null","2017","REP","null","null","https://docquery.fec.gov/dcdev/posted/1147272.fec","2017-02-02T00:00:00","null","Statement of candidacy 2017","null","2018","False","https://docquery.fec.gov/pdf/517/201702029042410517/201702029042410517.pdf","null","null","KS","null","https://docquery.fec.gov/csv/272/1147272.csv","H8KS04161","null","H","null","null","","","","","","","","","","","","","","","","","",""
